epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
106,6690.04,0.81037,1.01329,0.94299,0.95025,0.85088,0.86223,0.73466,0.81666,0.52753,0.91698,0.000255731,0.000255731,0.000255731
107,6753,0.79255,1.18858,0.93303,0.97624,0.85226,0.86242,0.73171,0.8091,0.50653,0.91573,0.000250233,0.000250233,0.000250233
108,6815.98,0.77503,1.02966,0.93157,0.97336,0.85289,0.86227,0.73075,0.82187,0.51235,0.92001,0.000244735,0.000244735,0.000244735
109,6879.09,0.79923,0.83097,0.94588,0.97893,0.84766,0.86298,0.72899,0.83283,0.50878,0.91996,0.000239238,0.000239238,0.000239238
110,6942.13,0.82102,0.8625,0.97708,0.97605,0.84709,0.86323,0.72089,0.83413,0.51701,0.92009,0.00023374,0.00023374,0.00023374
111,7005.09,0.76301,1.29186,0.91839,0.96991,0.85601,0.86348,0.7303,0.83367,0.50503,0.92615,0.000228242,0.000228242,0.000228242
112,7068.12,0.78809,0.90849,0.93413,0.9743,0.85493,0.86421,0.72724,0.84412,0.49856,0.92579,0.000222744,0.000222744,0.000222744
113,7131.21,0.79638,0.95925,0.93993,0.97601,0.85019,0.86365,0.73144,0.83724,0.50794,0.92158,0.000217246,0.000217246,0.000217246
114,7194.36,0.83597,0.82805,0.97075,0.97881,0.84748,0.86307,0.73089,0.84109,0.52547,0.92221,0.000211749,0.000211749,0.000211749
115,7257.32,0.79774,1.13944,0.94203,0.97043,0.85244,0.86214,0.72172,0.85934,0.52403,0.92985,0.000206251,0.000206251,0.000206251
116,7320.38,0.7912,1.00875,0.92879,0.97126,0.85156,0.86178,0.7309,0.84532,0.52446,0.92571,0.000200753,0.000200753,0.000200753
117,7383.36,0.76161,1.14286,0.93499,0.96982,0.8423,0.86097,0.73159,0.82938,0.51971,0.92219,0.000195255,0.000195255,0.000195255
118,7446.42,0.79413,0.77469,0.94659,0.97306,0.83063,0.85986,0.71454,0.84125,0.5437,0.93012,0.000189757,0.000189757,0.000189757
119,7509.52,0.77085,0.72071,0.92475,0.96787,0.84006,0.85998,0.71638,0.83807,0.52803,0.92674,0.00018426,0.00018426,0.00018426
120,7572.54,0.84244,1.20095,0.95682,0.97246,0.85402,0.86089,0.71351,0.83862,0.51177,0.9256,0.000178762,0.000178762,0.000178762
121,7635.57,0.79014,0.99552,0.94372,0.97647,0.84799,0.86527,0.71295,0.83276,0.50419,0.92161,0.000173264,0.000173264,0.000173264
122,7698.51,0.79501,1.33529,0.91627,0.97189,0.84884,0.86744,0.71239,0.84392,0.50092,0.92318,0.000167766,0.000167766,0.000167766
123,7761.57,0.80043,1.06306,0.94009,0.97148,0.8486,0.86737,0.71994,0.83989,0.50488,0.92391,0.000162268,0.000162268,0.000162268
124,7824.69,0.75791,1.07056,0.90377,0.967,0.84879,0.86759,0.72385,0.82893,0.50945,0.92204,0.000156771,0.000156771,0.000156771
125,7887.7,0.784,0.78325,0.94907,0.97471,0.8478,0.86535,0.72333,0.82106,0.49928,0.9243,0.000151273,0.000151273,0.000151273
126,7950.72,0.80403,0.83547,0.98928,0.97108,0.84935,0.86185,0.72373,0.81271,0.50422,0.92017,0.000145775,0.000145775,0.000145775
127,8013.67,0.77981,1.08308,0.92768,0.96574,0.84954,0.86157,0.72259,0.82021,0.50244,0.92449,0.000140277,0.000140277,0.000140277
128,8076.74,0.76289,1.01837,0.91685,0.97307,0.84868,0.86184,0.71569,0.81328,0.48986,0.91726,0.000134779,0.000134779,0.000134779
129,8139.89,0.78388,0.99153,0.94234,0.97334,0.85234,0.86221,0.72435,0.81512,0.49423,0.91632,0.000129282,0.000129282,0.000129282
130,8202.94,0.78297,0.90045,0.93458,0.97756,0.84395,0.86143,0.72996,0.82537,0.50998,0.91693,0.000123784,0.000123784,0.000123784
131,8266.04,0.80317,0.74183,0.94523,0.98119,0.83922,0.85724,0.71561,0.83524,0.52918,0.92053,0.000118286,0.000118286,0.000118286
132,8329.22,0.79868,0.77636,0.94489,0.97074,0.84134,0.85749,0.72505,0.8231,0.5261,0.9172,0.000112788,0.000112788,0.000112788
133,8392.35,0.77547,0.74273,0.94169,0.96969,0.83484,0.85751,0.72438,0.81823,0.53664,0.91488,0.00010729,0.00010729,0.00010729
134,8455.36,0.74915,1.1329,0.91295,0.92656,0.83918,0.85694,0.72385,0.81217,0.55884,0.91489,0.000101793,0.000101793,0.000101793
135,8518.33,0.75687,1.04463,0.93389,0.93744,0.84345,0.85814,0.72847,0.80973,0.55699,0.91547,9.62948e-05,9.62948e-05,9.62948e-05
136,8581.39,0.77998,0.74521,0.94127,0.93549,0.85289,0.85867,0.71804,0.81318,0.54895,0.91524,9.0797e-05,9.0797e-05,9.0797e-05
137,8644.43,0.7482,0.86686,0.92534,0.94524,0.83357,0.85851,0.73051,0.81259,0.54023,0.91404,8.52992e-05,8.52992e-05,8.52992e-05
138,8707.5,0.75626,0.72851,0.9305,0.97296,0.83309,0.85842,0.73275,0.81184,0.52934,0.9135,7.98014e-05,7.98014e-05,7.98014e-05
139,8770.54,0.76652,0.92388,0.94481,0.97262,0.84062,0.85873,0.73092,0.8241,0.52362,0.91636,7.43036e-05,7.43036e-05,7.43036e-05
140,8833.64,0.77293,0.7678,0.95291,0.97121,0.84222,0.85874,0.72529,0.82389,0.51991,0.91746,6.88058e-05,6.88058e-05,6.88058e-05
141,8896.62,0.75856,0.76138,0.9274,0.97172,0.83794,0.8563,0.71488,0.83607,0.53247,0.9205,6.3308e-05,6.3308e-05,6.3308e-05
142,8959.24,0.78705,0.83579,0.92549,0.95593,0.8306,0.85702,0.71024,0.83959,0.54989,0.92213,5.78102e-05,5.78102e-05,5.78102e-05
143,9021.8,0.771,0.80397,0.93381,0.96674,0.8392,0.85616,0.70594,0.83771,0.53372,0.92193,5.23124e-05,5.23124e-05,5.23124e-05
144,9084.33,0.76867,0.80195,0.92383,0.96503,0.83632,0.8581,0.71284,0.83631,0.52476,0.92178,4.68146e-05,4.68146e-05,4.68146e-05
145,9146.9,0.76127,0.77091,0.93236,0.96775,0.83971,0.85595,0.71025,0.83396,0.52608,0.92175,4.13168e-05,4.13168e-05,4.13168e-05
146,9209.46,0.75264,0.76091,0.9158,0.97035,0.83674,0.85826,0.71512,0.82926,0.52071,0.91925,3.5819e-05,3.5819e-05,3.5819e-05
147,9271.98,0.75955,0.79114,0.93095,0.96705,0.83309,0.8591,0.71933,0.8245,0.5216,0.91824,3.03212e-05,3.03212e-05,3.03212e-05
148,9334.53,0.761,0.79677,0.90834,0.96049,0.84664,0.86129,0.7147,0.82979,0.52038,0.92025,2.48234e-05,2.48234e-05,2.48234e-05
149,9397.08,0.75079,0.75716,0.91628,0.96265,0.84907,0.8618,0.71995,0.82797,0.52242,0.9178,1.93256e-05,1.93256e-05,1.93256e-05
150,9459.65,0.7589,0.75463,0.91736,0.96554,0.84873,0.8615,0.71628,0.8349,0.5234,0.92046,1.38278e-05,1.38278e-05,1.38278e-05
